,城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,行程内交通时长,目的地,编号
1637,广州,1624, , ,67,99,汽车/汽车, , , , ,210947510
1638,广州,144, , ,133,93, , ,4晚豪华型, , ,210616740
1639,广州,1019, , , , , , , , , ,320007209
1640,广州,649, , ,3,100, , , , , ,210362862
1641,广州,728, , , , , , ,共5次, , ,210617401
1642,广州,233, , ,7492,95,"
                                
                                    途牛独家发团；本产品为途牛独家发团产品，只接受途牛客人参团。
                                
                            ",共15个, , , ,210884588
1643,广州,245, , , , , , , , , ,320005943
1644,广州,605, , ,4435,97, ,共13个, , , ,210617319
1645,广州,1175, , ,213,97, , , , , ,210617755
1646,广州,7344, , , , , ,共2个, , , ,320008688
1647,广州,849, , ,19,100, , , , , ,300333858
1648,广州,300, , ,29,100, , , , , ,320007214
1649,广州,497, , ,18,100,汽车/汽车, ,4晚五星级, , ,210616344
1650,广州,437,2,2人, , , , ,3晚高档型, , ,210473332
1651,广州,1680,2, , , , ,共15个, , , ,210990677
1652,广州,159,6, ,7167,97, , , , , ,320006175
1653,广州,899, , ,33,99, , ,4晚豪华型, , ,320002493
1654,广州,1007, , , , , , ,5晚豪华型, , ,210750082
1655,广州,849, , ,133,93, , , , , ,300333505
1656,广州,581, , , , ,汽车/汽车, , , , ,210380647
1657,广州,788, , ,259,99, ,共12个, , , ,210369457
1658,广州,605, , , , , , , , , ,210378834
1659,广州,694, , ,3,100,自行安排/自行安排,共12个, , , ,210374952
1660,广州,328, , ,4435,97, , , , , ,210380645
1661,广州,653, , , , , ,共11个,4晚五星级, , ,210381163
1662,广州,460, , ,7492,95,汽车/汽车, , , , ,210380648
1663,广州,258, , ,29,100, ,共11个,4晚高档型, , ,210380704
1664,广州,1661, , , , , , , , , ,210381358
1665,广州,414, , ,213,97,"
                                
                                    牛人专线独家发团，本产品为牛人专线的独家发团产品，只接受牛人专线客人参团。
                                
                            ",共11个,3晚豪华型, , ,210383103
1666,广州,2415, , , , , , , , , ,210380485
1667,广州,4298, , ,3969,97, ,共11个,"3晚豪华型,1晚五星级", , ,210372730
1668,广州,353, , ,18,100,自行安排/自行安排, , , , ,210380596
1669,广州,497, , , , , ,共12个,4晚五星级, , ,210616142
1670,广州,568, , ,19,100, , , , , ,210616550
1671,广州,464, , ,2998,97,汽车/汽车,共11个,4晚豪华型, , ,210617189
1672,广州,412, , ,2925,99, , , , , ,210616647
1673,广州,1568, , , , , ,共11个,4晚五星级, , ,210607590
1674,广州,520, , , , ,火车/火车, , , , ,210616632
1675,广州,591, , , , ,,共11个,4晚五星级, , ,210616751
1676,广州,296, , , , , , , , , ,210617208
1677,广州,684, , , , , ,共13个,4晚豪华型, , ,210380594
1678,广州,465, , , , ,汽车/汽车, ,"3晚豪华型,1晚五星级", , ,210386334
1679,广州,995, , , , , ,共11个, , , ,210379761
1680,广州,178,5,2人, , , , , , , ,210380877
1681,广州,471,1, , , , ,共11个, , , ,210369872
1682,广州,500, , , , , , , , , ,210380595
1683,广州,204, , , , ,汽车/汽车,共11个, , , ,210380751
1684,广州,2052, , , , , , , , , ,210994237
1685,广州,2796, , , , , ,共11个, , , ,210380905
1686,广州,2013, , , , , , , , , ,210454077
1687,广州,807, , , , , ,共11个, , , ,210387160
1688,广州,508, , , , , , , , , ,210616616
1689,广州,352, , , , , ,共11个, , , ,210616658
1690,广州,824, , , , ,汽车/汽车, , , , ,210617198
1691,广州,497, , , , , ,共13个, , , ,210616359
1692,广州,196, , , , , ,共11个, , , ,210616364
1693,广州,590, , , , ,自行安排/自行安排, , , , ,210616516
1694,广州,660, , , , , , , , , ,210616587
1695,广州,12672, , , , , ,共11个, , , ,320008347
1696,广州,849, , ,43,100,自行安排/自行安排, , , , ,300338388
1697,广州,1085, , , , , ,共12个, , , ,210983344
1698,广州,971, , ,4,50, , , , , ,320001757
1699,广州,572, , , , ,汽车/汽车,共7个, , , ,210617251
1700,广州,1084, , ,4076,97, , , , , ,210470977
1701,广州,626, , ,7167,97, , , , , ,210986387
1702,广州,971, , ,1460,96,自行安排/自行安排, , , , ,320001792
1703,广州,1555, , ,1460,96,自行安排/自行安排,共11个, , , ,320001988
1704,广州,3704, , ,24,87, ,共12个, , , ,210998963
1705,广州,4698, , ,366,93, , , , , ,210444288
1706,广州,30, , , , ,汽车/汽车,共12个, , , ,320008495
1707,广州,2052, , ,13,100, , , , , ,320002158
1708,广州,20, , ,4001,97, , , , , ,320008386
1709,广州,1571, , ,366,93, , , , , ,320006338
1710,广州,20,9,1人, , ,汽车/汽车, , , , ,320008633
1711,广州,362,17,5人,41,99, , , , , ,320007995
1712,广州,317,6,1人,101,99, , , , , ,210835159
1713,广州,3310,4,1人,41,99,自行安排/自行安排, , , , ,210937150
1714,广州,558,57,4人, , , , , , , ,300092305
1715,广州,2297,2,1人,41,99, , , , , ,210618124
1716,广州,3299,2,1人, , , , , , , ,210939180
1717,广州,368,2,1人,41,99, , , , , ,300123382
1718,广州,989,2,1人, , ,汽车/汽车, , , , ,210836457
1719,广州,1383,2,271人,41,99, , , , , ,210532696
1720,广州,1480,1844,1人,41,99, , , , , ,300340100
1721,广州,506,20,1人,41,99,汽车/汽车, , , , ,300339147
1722,广州,505,7, , , , , , , , ,210468461
1723,广州,295,3, , , , , , , , ,210777897
1724,广州,228,1, ,4001,97,汽车/汽车, , , , ,210889618
1725,广州,947,2, ,366,93, , , , , ,210468312
1726,广州,249,2, , , , , , , , ,210926037
1727,广州,674, , ,138,99,汽车/汽车, , , , ,210986526
1728,广州,2970, , , , , , , , , ,210989040
1729,广州,9380, , ,145,91, , , , , ,210992443
1730,广州,858, , , , ,自行安排/自行安排, , , , ,300159093
1731,广州,842, , ,10246,97, , , , , ,210224584
1732,广州,735, , ,10246,97, , , , , ,320008114
1733,广州,358, , ,241,98, , , , , ,300417069
1734,广州,99, , , , , , , , , ,320004795
1735,广州,837, , ,241,98, , , , , ,210443682
1736,广州,205, , , , , , , , , ,210747505
1737,广州,482, , , , , , , , , ,210673642
1738,广州,288, , ,142,99, , , , , ,210722934
1739,广州,777, , ,113,92,汽车/汽车, , , , ,320008470
1740,广州,479,1, ,10652,97,自行安排/自行安排, , , , ,320001970
1741,广州,558,4, ,273,96, , , , , ,210455975
1742,广州,652,2, , , , , , , , ,210443419
1743,广州,1254,2, ,470,99,汽车/汽车, , , , ,320008252
1744,广州,903,2, , , , , , , , ,320008249
1745,广州,1454, , ,10652,97, , , , , ,320008354
1746,广州,499, , ,2925,99,高铁二等座/飞机, , , , ,210143149
1747,广州,1354, , , , ,飞机/高铁二等座, , , , ,320008355
1748,广州,543, , ,8,100,汽车/汽车, , , , ,210440969
1749,广州,1334, , , , , , , , , ,320008356
1750,广州,690, , , , , , , , , ,320006270
1751,广州,802, , , , , , , , , ,320008250
1752,广州,162, , , , , , , , , ,210939914
1753,广州,833, , , , ,自行安排/自行安排, , , , ,320008251
1754,广州,1424, , , , , , , , , ,210938299
1755,广州,1850, , , , , , , , , ,210682689
1756,广州,1762, , , , ,自行安排/自行安排, , , , ,210205269
1757,广州,2777, , , , , , , , , ,210872464
1758,广州,1850, , ,336,97, , , , , ,210440733
1759,广州,1377, , , , ,汽车/汽车, , , , ,210681821
1760,广州,3739, , ,28,99, , , , , ,210990646
1761,广州,599, , , , , , , , , ,210996624
1762,广州,968, , , , ,自行安排/自行安排, , , , ,210184859
1763,广州,1476, , , , , , , , , ,320008268
1764,广州,909, , , , , , , , , ,320007908
1765,广州,1287, , ,25,100,汽车/汽车, , , , ,320008273
1766,广州,1262, , , , , , , , , ,210916622
1767,广州,670, , ,10864,97, , , , , ,210184867
1768,广州,1477, , , , , , , , , ,210682052
1769,广州,1477, , ,4,100, , , , , ,210524381
1770,广州,4439,7,1688人,10864,97, , , , , ,210990510
1771,广州,3477,8512,1496人, , ,自行安排/自行安排, , , , ,210990512
1772,广州,1850,7410,1245人, , , , , , , ,210990514
1773,广州,1646,2, , , , , , , , ,320008259
1774,广州,909,2, ,25,100,自行安排/自行安排, , , , ,320008269
1775,广州,1398,6092, , , , , , , , ,320007896
1776,广州,724,1, ,28, , , , , , ,320007913
1777,广州,983, , , ,99,火车/火车, , , , ,320007912
1778,广州,1260, , , , ,自行安排/自行安排, , , , ,320007901
1779,广州,259, , , , ,汽车/汽车, , , , ,210608653
1780,广州,1098, , , , , , , ,约4小时（行程内）,北京,210555507
1781,广州,1430, , ,198,96, , , ,约4小时（行程内）,北京,210555504
1782,广州,145, , , , ,自行安排/自行安排, , , , ,320008025
1783,广州,238, , ,198,96, , , , , ,210933593
1784,广州,1900, , , , , , , , , ,210555989
1785,广州,2979, , ,174,95,自行安排/自行安排, , , , ,210926283
1786,广州,183, , , , , , , , , ,210933604
1787,广州,120, , ,174,95, , , , , ,210937371
1788,广州,168, , , , ,自行安排/自行安排, , ,约4小时（行程内）,北京,210624101
1789,广州,156, , ,174,95,自行安排/自行安排, , , , ,210991390
1790,广州,4610, , , , , , , , , ,320003607
1791,广州,3558, , ,174,95, , , , , ,320004094
1792,广州,2505, , , , ,自行安排/自行安排, , , , ,320004093
1793,广州,328, , ,174,95,自行安排/自行安排, , , , ,210933667
1794,广州,183, , , , ,自行安排/自行安排, , , , ,210698830
1795,广州,216, , ,174,95, , , , , ,210953846
1796,广州,149, , , , , , , , , ,320005512
1797,广州,258, , ,174,95,飞机/飞机, , , , ,320005513
1798,广州,280, , , , ,飞机/飞机, , , , ,320005065
1799,广州,399, , ,174,95,自行安排/自行安排, , , , ,320005511
1800,广州,2090,3.1万,7383人,3431,93, , , ,约8小时15分钟（行程内）,西安,210054963
1801,广州,2605,4931,1190人,118,100,自行安排/自行安排,共7个,4晚舒适型,约10小时（行程内）,西安,210713586
1802,广州,2605,3409,803人, , , ,共8个,4晚五星级,共4次,延安,210713587
1803,广州,2284,1280,215人,1280,97, ,共8个,"4晚豪华型,1晚五星级",约10小时30分钟（行程内）,延安,210643094
1804,广州,2190,1.1万,2656人,39,100,飞机/飞机,共6个,4晚豪华型,共4次,西安,210414720
1805,广州,3738,7686,1662人, , ,飞机/飞机,共9个,"4晚豪华型,1晚五星级",约16小时30分钟（行程内）,西安,210033829
1806,广州,1933,3534,695人,838,96, ,共7个,"1晚豪华型,3晚五星级",约15小时30分钟（行程内）,延安,210649165
1807,广州,3738,8409,1831人, , , ,共13个,"1晚豪华型,5晚五星级", , ,210032937
1808,广州,739,2774,265人,120,95,火车硬卧/火车硬卧,共12个,"1晚豪华型,5晚五星级", , ,210606821
1809,广州,948,29,2人, , ,飞机/飞机, , , , ,210946633
1810,广州,2110,1004,176人,1128,93, , , ,共1个购物点，约30分钟,渭南,210065453
1811,广州,2334,2836,508人,31108,97, , , , , ,210629518
1812,广州,2320,9770,2253人,4931,97, ,共12个,"4晚舒适型,1晚经济型",共5次,西安,210475598
1813,广州,3120,1.4万,3427人,1280,97, , , ,共5次,西安,210980293
1814,广州,163,5.1万,9418人,3409,98,飞机/飞机,共8个,4晚豪华型, , ,210042723
1815,广州,2900,1202,201人,11407,97, ,共11个,6晚豪华型,共3次,西安,210645044
1816,广州,3407,189,55人,7686,96, , , ,约10小时（行程内）,延安,210739962
1817,广州,2098,1.8万,4092人,8409,95,动车组/动车组,共7个,4晚三星级,约16小时30分钟（行程内）,西安,210050813
1818,广州,4279,251,52人,3534,92,飞机/飞机,共8个,"4晚豪华型,1晚五星级",共1个购物点，约30分钟,西安,210181075
1819,广州,1835,725,110人, , ,飞机/飞机,共13个,"1晚豪华型,5晚五星级",约15小时30分钟（行程内）,延安,210050315
1820,广州,3738,22,7人,2774,93,飞机/飞机,共12个,"3晚舒适型,1晚经济型",共2次,西安,210684912
1821,广州,1626,3085,674人, , ,飞机/飞机,共12个,"1晚豪华型,5晚五星级", , ,210477246
1822,广州,1544,3431,600人,29,100,飞机/飞机,共6个,3晚舒适型,共2次,西安,210488117
1823,广州,2264,39,6人, , ,飞机/飞机,共7个,共2次, , ,210643086
1824,广州,739,838,96人,1004,93,飞机/飞机, , ,共4次,西安,210675655
1825,广州,2200,1280,215人,2836,92,飞机/飞机,共7个,4晚豪华型, , ,210754144
1826,广州,629,118,4人, , , , , , , ,210570600
1827,广州,1787,1128,230人,9770,97, ,共7个,3晚五星级,共3次,西安,210758434
1828,广州,163,6330,989人,14370,98, ,共7个,共3次, , ,210636720
1829,广州,3895,120,33人,50544,97, , , , , ,210242885
1830,广州,2892,4,1人, , ,自行安排/自行安排, , ,共3次,咸阳,210938425
1831,广州,2490,7,1人, , , , , ,共3次,延安,210938426
1832,广州,1434,951,207人,73,100, ,共7个,4晚高档型, , ,210495293
1833,广州,168,1.0万,2320人,93, ,飞机/飞机, , , , ,210057597
1834,广州,1499,1.6万,3693人, ,93, ,共9个,5晚豪华型, , ,210054445
1835,广州,291,1673,219人,107,98, ,共11个,"1晚经济型,4晚豪华型",共6次,西安,210493835
1836,广州,4019,2,19人, , ,自行安排/自行安排,共9个,"1晚舒适型,3晚豪华型", , ,210980987
1837,广州,737,73,14人, , ,自行安排/自行安排,共3个,共4次, , ,210785420
1838,广州,1627,93,28人,3711,93,飞机/飞机, , , , ,210729339
1839,广州,99,107,771人, , , , , , , ,210681750
1840,广州,756,3711,22人,64,100, , , , , ,210039874
1841,广州,1937,64,39人,122,98,自行安排/自行安排,共7个,4晚五星级,约10小时（行程内）,延安,210926151
1842,广州,705,122,1人, , , , , , , ,210637229
1843,广州,905,11,3人, , , , , , , ,210740074
1844,广州,947,8,142人,11,100,自行安排/自行安排, , , , ,210949824
1845,广州,120,616,78人, , ,自行安排/自行安排, , , , ,210045397
1846,广州,1599,459,16人,8,100, , , , , ,210684875
1847,广州,695,44,26人, , , ,共7个,"4晚豪华型,1晚五星级",共4次,西安,210603837
1848,广州,155,148,1人, , , , , , , ,300335022
1849,广州,228,7,2人,459,95, , , , , ,300330902
1850,广州,283,8,583人,616,95,汽车/汽车, , , , ,210848733
1851,广州,690,3326,12人, , , , , , , ,210156561
1852,广州,446,100,77人,8,100, , , ,共1次，约1小时,西安,300318507
1853,广州,1144,486,11人, , ,汽车/汽车,共9个,4晚豪华型, , ,210048632
1854,广州,796,25,2人,44,100,自行安排/自行安排, , ,共3次,西安,210644381
1855,广州,674,6,28人, , , , , , , ,210943686
1856,广州,1357,130,1人,3326,93, , , ,共1个购物点，约30分钟,西安,210675127
1857,广州,918,2,4人, , , , , ,共2次,宝鸡,300318946
1858,广州,310,18,3人,486,95, ,共6个,2晚舒适型, , ,300412309
1859,广州,2070,8, ,25,99,自行安排/自行安排, , , , ,210667837
1860,广州,154,41,11人,11,100,汽车/汽车, , , , ,300500437
1861,广州,1136,91,11人, , , ,共12个,"1晚豪华型,4晚五星级", , ,210203769
1862,广州,298,2,1人,8,100, ,共13个,共3次, , ,320006653
1863,广州,495,2,11人,44,100, , , , , ,300414571
1864,广州,1193,43,1人, , , ,共10个,4晚豪华型,共3次,西安,210543042
1865,广州,1630,3,2人, , , ,共9个,4晚豪华型, , ,210667857
1866,广州,1388,1,162人,459,95, ,共4个,共6次, , ,210948748
1867,广州,1078,4,128人, , ,自行安排/自行安排, , , , ,300318978
1868,广州,1222,1,6544人, , ,汽车/汽车,共12个,共5次, , ,300336027
1869,广州,165,11,2人,8,100, , , , , ,300622240
1870,广州,739,1782,5924人, , , ,共13个,"1晚豪华型,5晚五星级", , ,300310113
1871,广州,849,795,3524人, , ,自行安排/自行安排, , , , ,300292001
1872,广州,2988,2.7万,6919人,3326,93,自行安排/自行安排, , , , ,210672425
1873,广州,2190,2.5万,1831人,25,99,自行安排/自行安排, , , , ,210658877
1874,广州,2988,1.5万,1958人, , ,飞机/飞机, , ,约8小时15分钟（行程内）,西安,210106713
1875,广州,244,2.0万,2584人,130,97, , , ,约8小时15分钟（行程内）,西安,300618398
1876,广州,3638,8409,2587人,486,95, ,共11个,4晚经济型, , ,210424408
1877,广州,2718,8489,1083人,6,100,自行安排/自行安排, , ,共5次,西安,210106711
1878,广州,2055,1.1万,993人, , , , , , , ,210042994
1879,广州,1990,1.1万,3507人,8,100, , , ,共5次,西安,210033556
1880,广州,2397,5169,716人, , ,自行安排/自行安排, , , , ,210031585
1881,广州,3392,4755,952人, , , , , ,约15小时30分钟（行程内）,延安,210669081
1882,广州,3117,1.5万,1770人, , , , , , , ,210669076
1883,广州,3738,3154,836人,91,96,自行安排/自行安排, , , , ,210055007
1884,广州,2261,4099, , , , , , ,共5次,西安,210033716
1885,广州,1933,8726, , , , , , ,约16小时30分钟（行程内）,西安,210651307
1886,广州,3362,3697, , , ,汽车/汽车,共8个,4晚五星级, , ,210414722
1887,广州, , , ,43,99, ,共8个,"1晚豪华型,3晚五星级", , ,210669092
1888,广州, , , , , , , , , , ,210107045
1889,广州, , , , , ,汽车/汽车,共7个,4晚五星级, , ,210033872
1890,广州,3067,1463,319人,3154,98, ,共12个,"1晚豪华型,4晚五星级", , ,210683585
1891,广州,2392,4756,997人,8726,91, ,共15个,共1个购物点，约30分钟, , ,210052694
1892,广州,2988,1.1万,2539人, , , ,共10个,5晚豪华型,共5次,西安,210651129
1893,广州,453,431,81人, , , ,共9个,3晚豪华型, , ,210156151
1894,广州,2320,9861,2276人,91,96,自行安排/自行安排,共6个,4晚豪华型,共5次,西安,210477464
1895,广州,3705,4026,914人, , ,汽车/汽车,共9个,4晚豪华型,共6次,延安,210370174
1896,广州,2988,1280,215人, , , , , ,共4次,西安,210645733
1897,广州,3407,206,68人, , , ,共13个,"1晚豪华型,4晚五星级",约10小时30分钟（行程内）,延安,210739950
1898,广州,4253,4026,914人,43,99,自行安排/自行安排, , ,共6次,延安,210370175
1899,广州,2843,2.2万,5338人, , ,自行安排/自行安排,共4个,共6次,共3次,西安,210368269
1900,广州,2234,1181,195人, , ,汽车/汽车, , ,共4次,西安,210757791
1901,广州,1576,5794,1182人, , , ,共7个,4晚豪华型, , ,300620632
1902,广州,2034,3140,579人, , , ,共4个,共6次, , ,210033320
1903,广州,2320,366,59人, , ,自行安排/自行安排, , ,共6次,渭南,210536248
1904,广州,2055,252,58人, , , , , ,共5次,西安,210641163
1905,广州,3705,2993,669人, , , , , , , ,210669071
1906,广州,2944,1.4万,3419人,1782,92, ,共7个,3晚豪华型,共3次,延安,210370167
1907,广州,2198,419,73人, , , ,共5个,共5次,共4次,宝鸡,210990366
1908,广州,3100,1344,227人,795,93, , , ,共5次,西安,210682786
1909,广州,1821,3826,759人, , , , , ,共3次,西安,210672088
1910,广州,1990,114,24人,27089,98,自行安排/自行安排,共8个,3晚豪华型, , ,210604894
1911,广州,1600,3455,1人,24504,98, , , , , ,210669067
1912,广州,2737,3826,759人, , , ,共12个,"5晚高档型,1晚豪华型,2晚五星级", , ,300294397
1913,广州,1964,985,759人,15125,96, ,共5个,共6次, , ,210032420
1914,广州,1711,1155,180人,20293,98, , , , , ,210604777
1915,广州,3837,33,210人, , , ,共7个,共2次,共1个购物点，约3小时,成都,210479303
1916,广州,2198,28,8人,8489,96, , , , , ,210480879
1917,广州,2843,1.1万,9人,10993,97,自行安排/自行安排,共7个,4晚五星级, , ,210327611
1918,广州, , ,2527人, , , , , ,共2次,西安,210803509
1919,广州, , , ,8409,95, ,共8个,4晚豪华型,共4次,西安,210368386
1920,广州,295,9031,2343人,419,96,飞机/飞机,共9个,4晚豪华型, , ,210045256
1921,广州,2320,14,4人,1181,98, ,共6个,共4次,共5次,西安,210672908
1922,广州,1059,4563,544人,366,95, , , , , ,210658880
1923,广州,1612,1066,226人,5794,90,飞机/飞机,共7个,3晚舒适型, , ,210096352
1924,广州,1690,1742,353人, , ,火车硬卧/火车硬卧,共8个,4晚豪华型,共1次，约1小时,渭南,210060398
1925,广州,1584,203,53人,2993,98, ,共3个,3晚豪华型,共5次,西安,210606532
1926,广州,3117,8,3人, , , , , ,共7次,西安,210477168
1927,广州,842,34,9人,252,96,飞机/飞机, , , , ,210750151
1928,广州,154,2350,485人, , ,火车/火车, , , , ,210038752
1929,广州,327,1285,218人,1344,97,飞机/飞机,共6个,3晚舒适型, , ,210077446
1930,广州,2281,3431,600人,114,96, ,共6个,3晚舒适型,共2次,西安,210442114
1931,广州,3090,1230,302人, , , ,共6个,3晚舒适型,共1次,开封,210061725
1932,广州,1561,3431,600人,3826,92,火车硬卧/火车硬卧,共12个,"1晚舒适型,2晚高档型,1晚豪华型",共2次,西安,210284951
1933,广州,1526,914,174人, , , , , ,共2次,西安,210762716
1934,广州,2204,43,13人,3826,92, ,共7个,4晚豪华型,共3次,延安,210568341
1935,广州,1441,665,114人, , ,飞机/飞机,共12个,"1晚舒适型,2晚高档型,1晚豪华型", , ,210773061
1936,广州,263,1386,270人,10860,97,飞机/飞机, , , , ,210040214
1937,广州,3166,1230,302人,3455,93, ,共12个,"1晚舒适型,2晚高档型,1晚豪华型",共1次,开封,210348670
1938,广州,3400,1230,302人, , , ,共7个,4晚高档型,共3次,延安,210556205
1939,广州,2014,1202,201人,1155,93, , , ,共1次,西安,210640904
1940,广州,1418,66,11人, , , , , , , ,210212220
1941,广州,2131,62,12人,28,100,自行安排/自行安排, , ,共7次,西安,210511694
1942,广州,1379,38,14人,985,93, , , , , ,210742974
1943,广州,1934,150,32人, , , ,共3个,共6次, , ,210599021
1944,广州,2857,3,1人,33,100, , , , , ,210776877
1945,广州,3193,164,47人,1463,95, ,共3个,4晚豪华型, , ,210031849
1946,广州,1567,477,52人, , , ,共15个,"1晚舒适型,2晚高档型,2晚豪华型",共1次,焦作,210669506
1947,广州,2332,318,66人,4756,93, ,共12个,共1个购物点，约1小时, , ,210072466
1948,广州,1014,752,117人, , ,自行安排/自行安排, , ,共5次,咸阳,210630613
1949,广州,1532,1321,251人,10890,97, ,共6个,共3次, , ,210649154
1950,广州,1811,14,4人,3455,93,火车硬卧/火车硬卧, , , , ,210544669
1951,广州,1608,2,1人, , , ,共12个,共1个购物点，约1小时,共4次,西安,320002618
1952,广州,1409,137,10人,1155,93, ,共6个,共3次,共1次，约1小时,西安,210570603
1953,广州,1431,605,132人, , ,火车硬卧/火车硬卧, , , , ,210625289
1954,广州,2943,472,125人,10860,97, , , ,共1次,西安,210238003
1955,广州,3900,175,38人,28,100, ,共3个,2晚五星级,共3次,郑州,210367210
1956,广州,747,13,6人,9031,95,火车/火车, , , , ,210757168
1957,广州,663,2,1人, , ,飞机/飞机,共6个,2晚舒适型, , ,210938563
1958,广州,699,52,7人,4563,92,飞机/飞机, , ,共4次,西安,320002152
1959,广州,2798,1202,201人, , , ,共3个,2晚五星级,共3次,西安,210643089
1960,广州,3438,160,23人,14,100, ,共14个,"1晚舒适型,3晚高档型,1晚豪华型",共3次,延安,210645741
1961,广州,1832,341,46人,1066,92,飞机/飞机, , ,共4次,延安,210675277
1962,广州,2988,136,18人, , , ,共12个,"1晚舒适型,3晚高档型,1晚五星级",共1次,延安,210643097
1963,广州,1711,114,17人,1742,92, ,共7个,"1晚三星级,3晚高档型",共3次，约2小时30分钟,西安,210053416
1964,广州,4500,270,59人,8,98,火车硬卧/火车硬卧,共9个,"1晚三星级,1晚舒适型,2晚高档型,1晚经济型",共3次,西安,210238922
1965,广州,2341,48,8人,203,92, ,共6个,4晚舒适型,共3次,延安,210675259
1966,广州,316,170,17人,2350,96, ,共7个,"1晚舒适型,3晚高档型", , ,210764616
1967,广州,2587,155,44人, , ,飞机/飞机,共16个,"1晚舒适型,3晚高档型,1晚经济型,1晚豪华型",约16小时30分钟（行程内）,延安,210181073
1968,广州,3600,42,12人,34,100, , , ,共1次,西安,210031868
1969,广州,2184,30,9人, , , ,共13个,"1晚豪华型,4晚五星级",共1次,西安,210940358
1970,广州,3766,175,38人,1285,96,火车/火车,共6个,3晚舒适型,共2次,咸阳,210569264
1971,广州,2634,57,6人, , , ,共9个,"1晚三星级,1晚舒适型,2晚高档型,1晚经济型",共1次,西安,210643110
1972,广州,4443,6,1人,3431,93, ,共17个,"1晚舒适型,3晚高档型,2晚豪华型",约8小时20分钟（行程内）,西安,210664068
1973,广州,684,68,10人,914,92,火车硬卧/火车硬卧,共14个,"1晚舒适型,3晚高档型,1晚豪华型", , ,210425789
1974,广州,1795,349,72人,3431,93, ,共12个,"2晚高档型,3晚五星级",共3次,渭南,210597913
1975,广州,2938,136,18人,1230,97, ,共9个,5晚豪华型,共3次,延安,210645737
1976,广州,3220,160,23人,1386,95,火车/火车, , ,共1次,西安,210665299
1977,广州,2134,136,18人, , ,自行安排/自行安排, , ,共1次,咸阳,210643109
1978,广州,3900,149,43人,43,98, ,共7个,"1晚舒适型,3晚高档型",共1次,郑州,210556206
1979,广州,216,40,4人,1230,97, ,共7个,"1晚舒适型,3晚高档型", , ,210627287
1980,广州,632,387,81人,203,92, ,共7个,"1晚舒适型,3晚高档型", , ,210601005
1981,广州,622,360,91人,34,100, ,共7个,"1晚舒适型,3晚高档型", , ,210635270
1982,广州,1000,328,89人, , ,高铁二等座/飞机,共15个,"1晚舒适型,2晚高档型,2晚豪华型", , ,210602578
1983,广州,4330,32,9人,2350,96,飞机/飞机, , ,共1次,洛阳,210556204
1984,广州,3766,149,43人, , , , , ,共1次,西安,210568141
1985,广州,1539,15,2人,1285,96, , , , , ,210634922
1986,广州,2169,21,2人, , ,飞机/飞机, , ,共1个购物点，约30分钟,延安,210764579
1987,广州,1084,197,51人,3431,93, ,共17个,"1晚舒适型,3晚高档型,2晚豪华型", , ,210696392
1988,广州,1442,143,23人,1230,97, ,共16个,"4晚舒适型,1晚经济型", , ,210203793
1989,广州,4328,4,2人,3431,93,飞机/飞机,共15个,"1晚舒适型,2晚高档型,2晚豪华型", , ,210979877
1990,广州,1858,11,600人,914,92,飞机/飞机, , ,共3次,西安,210597565
1991,广州,1564,3431,6707人,43,98, , , ,共2次,西安,210758444
1992,广州,1499,2.8万,2人,665,94, , , ,约8小时15分钟（行程内）,宝鸡,210053200
1993,广州,159,17,3人, , ,飞机/飞机,共10个,4晚舒适型, , ,210617550
1994,广州,579,10,19人,1386,95,火车/火车, , , , ,210991290
1995,广州,1105,58,1人, , , ,共8个,4晚五星级, , ,210666146
1996,广州,154,27,1人,1230,97, ,共6个,3晚舒适型, , ,210814200
1997,广州,3866,6,9人,1202,97,火车硬卧/火车硬卧, , , , ,210569263
1998,广州,2348,69,1人,1230,97, ,共16个,"5晚舒适型,1晚经济型",共1次,延安,210728984
1999,广州,2430,4,137人,66,95, , , ,共3次,西安,210740101
2000,广州,229,623,14人, , ,火车/火车, , , , ,210422580
2001,广州,716,61,13人,150,88,自行安排/自行安排, , ,共1个购物点，约30分钟,西安,210674844
2002,广州,737,84,1人,38,95, , , , , ,210602552
2003,广州,229,7,35人, , , ,共4个,3晚高档型, , ,210984793
2004,广州,1701,167,1人,62,94,飞机/飞机, , ,共2次,渭南,210625308
2005,广州,2491,2,197人, , ,高铁二等座/飞机, , ,共2次,西安,210777659
2006,广州,1684,1055,76人,3,100,火车/火车,共14个,"1晚舒适型,3晚高档型,1晚豪华型", , ,210940359
2007,广州,600,277,8人, , ,火车/火车, , , , ,210039818
2008,广州,642,41, ,477,94,高铁二等座/飞机,共7个,3晚舒适型, , ,210751488
2009,广州,453, , , , ,高铁二等座/飞机,共14个,"3晚高档型,1晚五星级", , ,210739781
2010,广州,1000,58,11人,175,94,飞机/飞机, , , , ,210648493
2011,广州,621,27,6人,6,100, , , , , ,210731071
2012,广州,1850,217,44人,57,96, , , , , ,210648953
2013,广州,579,19,6人,68,99,飞机/飞机, , , , ,210781676
2014,广州,1090,20,4人,43,100, , , , , ,210788916
2015,广州,2005,1,1人, , , , , ,共2次，约2小时,西安,210734608
2016,广州,2552,647,158人, , ,高铁二等座/飞机, , ,共5次,西安,210181074
